avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
0.785,3.4000000000000004,420.0,8.4,1264,423.925
1.99,5.366666666666667,420.5,8.41,1100,430.45
4.2325,8.433333333333332,418.0,8.36,1107,439.1625
290.275,36.46666666666667,228.5,4.57,1182,1679.875
0.93,4.033333333333333,423.0,8.46,1252,427.65
1.5325,3.6666666666666665,421.5,8.43,1264,429.1625
4.545,6.266666666666667,421.5,8.43,1112,444.225
3.225,5.499999999999999,425.5,8.51,1132,441.625
9.8425,23.03333333333333,230.0,4.6,1095,279.2125
0.835,4.4,423.0,8.46,1234,427.175
3.46,7.666666666666668,420.5,8.41,1090,437.8
1.3775,3.933333333333333,423.0,8.46,1086,429.8875
10.7175,26.450000000000003,226.5,4.53,1088,280.0875
2.525,5.5,427.0,8.54,1268,439.625
3.375,6.933333333333333,417.0,8.34,1067,433.875
4.019642857142857,8.309523809523808,415.5,8.31,1138,435.5982142857143
319.2075,40.233333333333334,226.0,4.52,1180,1822.0375
3.775,7.6,420.5,8.41,1081,439.375
2.6125,4.866666666666666,423.5,8.47,1073,436.5625
3.1475,6.399999999999999,417.0,8.34,1276,432.7375
3.3,6.0666666666666655,421.0,8.42,1127,437.5
1.81,4.7333333333333325,417.0,8.34,1089,426.05
62.17428571428572,30.09523809523809,288.0,5.76,1264,598.8714285714286
5.165,6.533333333333332,428.0,8.56,1076,453.825
5.5,6.9,415.5,8.31,1129,443.0
3.215,5.166666666666666,417.5,8.35,1118,433.575
4.2875,6.6000000000000005,415.0,8.3,1127,436.4375
4.105,6.333333333333332,264.5,5.29,1086,285.025
7.4825,11.333333333333332,259.0,5.18,1057,296.4125
6.8675,16.233333333333334,260.0,5.2,1103,294.3375
0.4675,2.2,420.5,8.41,1058,422.8375
1.1875,3.166666666666666,423.0,8.46,1112,428.9375
4.6589285714285715,9.142857142857142,414.0,8.28,1103,437.29464285714283
7.1775,18.066666666666666,232.0,4.64,1097,267.8875
1.3775,3.6666666666666665,418.5,8.37,1252,425.3875
6.82,10.666666666666666,264.0,5.28,1111,298.1
22.047142857142852,14.309523809523808,360.0,7.2,1102,470.23571428571427
2.43,5.0,420.0,8.4,1074,432.15
8.9875,9.0,258.5,5.17,1088,303.4375
167.5675,39.733333333333334,256.0,5.12,1279,1093.8375
323.63,42.81666666666666,223.5,4.47,1153,1841.65
0.115,0.7666666666666666,422.0,8.44,1286,422.575
149.1275,35.33333333333333,259.5,5.19,1256,1005.1375
1.09,2.833333333333333,420.0,8.4,1077,425.45
7.8925,9.166666666666664,267.0,5.34,1118,306.4625
2.29,3.833333333333333,420.5,8.41,1082,431.95
0.73,2.7,419.5,8.39,1079,423.15
1.0775,3.7666666666666666,419.5,8.39,1280,424.8875
3.5985714285714283,6.619047619047619,412.5,8.25,1095,430.49285714285713
1.2075,3.833333333333333,423.0,8.46,1255,429.0375
67.52107142857145,27.0,298.5,5.97,1321,636.1053571428572
6.515,9.666666666666666,263.0,5.26,1097,295.575
2.13,4.6,417.0,8.34,1098,427.65
